ESC Armed, Spooling up in 2 seconds
Time_ms,Pitch_deg,Error_deg,Gimbal_deg
52435,0.00,0.00,0.00
52456,0.00,0.00,0.00
52476,0.00,0.00,0.00
52497,0.00,0.00,0.00
52517,0.00,0.00,0.00
52538,0.00,0.00,0.00
52558,0.00,0.00,0.00
52579,0.00,0.00,0.00
52599,0.00,0.00,0.00
52620,0.15,-0.15,1.64
52640,0.15,-0.15,1.22
52661,0.15,-0.15,0.94
52681,0.30,-0.30,2.39
52702,0.30,-0.30,1.85
52722,0.30,-0.30,1.49
52743,0.15,-0.15,-0.39
52763,0.15,-0.15,-0.13
52784,0.15,-0.15,0.04
52804,0.15,-0.15,0.16
52825,0.15,-0.15,0.23
52845,0.15,-0.15,0.28
52866,0.15,-0.15,0.32
52886,0.15,-0.15,0.34
52907,0.15,-0.15,0.35
52927,0.30,-0.30,2.00
52947,0.30,-0.30,1.59
52968,0.30,-0.30,1.32
52988,0.30,-0.30,1.13
53009,0.30,-0.30,1.01
53029,0.30,-0.30,0.93
53050,0.30,-0.30,0.88
53070,0.30,-0.30,0.84
53091,0.30,-0.30,0.82
53111,0.30,-0.30,0.80
53132,0.15,-0.15,-0.85
53152,0.15,-0.15,-0.44
53173,0.15,-0.15,-0.16
53193,0.15,-0.15,0.02
53214,0.15,-0.15,0.14
53234,0.15,-0.15,0.22
53255,0.15,-0.15,0.28
53275,0.15,-0.15,0.31
53296,0.15,-0.15,0.34
53316,0.15,-0.15,0.35
53337,0.30,-0.30,2.00
53357,0.30,-0.30,1.59
53378,0.30,-0.30,1.31
53398,0.30,-0.30,1.13
53419,0.30,-0.30,1.01
53439,0.30,-0.30,0.93
53459,0.30,-0.30,0.88
53480,0.15,-0.15,-0.80
53500,0.15,-0.15,-0.40
53521,0.15,-0.15,-0.14
53541,0.15,-0.15,0.03
53562,0.15,-0.15,0.15
53582,0.15,-0.15,0.23
53603,0.15,-0.15,0.28
53623,0.15,-0.15,0.31
53644,0.15,-0.15,0.34
53664,0.30,-0.30,1.99
53685,0.30,-0.30,1.58
53705,0.30,-0.30,1.31
53726,0.30,-0.30,1.13
53746,0.45,-0.45,2.65
53767,0.45,-0.45,2.15
53787,0.45,-0.45,1.82
53808,0.45,-0.45,1.59
53828,0.30,-0.30,-0.19
53849,0.30,-0.30,0.13
53869,0.30,-0.30,0.34
53890,0.15,-0.15,-1.15
53910,0.15,-0.15,-0.64
53931,0.15,-0.15,-0.30
53951,0.15,-0.15,-0.07
53971,0.15,-0.15,0.08
53992,0.15,-0.15,0.18
54012,0.15,-0.15,0.25
54033,0.15,-0.15,0.29
54053,0.15,-0.15,0.32
54074,0.15,-0.15,0.34
54094,0.30,-0.30,1.99
54115,0.30,-0.30,1.59
54135,0.30,-0.30,1.31
54156,0.30,-0.30,1.13
54176,0.30,-0.30,1.01
54197,0.45,-0.45,2.57
54217,0.30,-0.30,0.46
54238,0.30,-0.30,0.56
54258,0.30,-0.30,0.63
54279,0.30,-0.30,0.68
54299,0.30,-0.30,0.71
54320,0.15,-0.15,-0.91
54340,0.15,-0.15,-0.48
54361,0.15,-0.15,-0.19
54381,0.00,0.00,-1.64
54402,0.00,0.00,-1.09
54422,0.00,0.00,-0.73
54443,0.00,0.00,-0.48
54463,0.00,0.00,-0.32
54483,0.00,0.00,-0.22
54504,0.00,0.00,-0.14
54524,-0.15,0.15,-1.73
54545,-0.15,0.15,-1.28
54565,-0.15,0.15,-0.98
54586,-0.15,0.15,-0.78
54606,0.00,0.00,0.99
54627,0.00,0.00,0.66
54647,0.00,0.00,0.44
54668,0.00,0.00,0.29
54688,0.15,-0.15,1.83
54709,0.15,-0.15,1.35
54729,0.15,-0.15,1.03
54750,0.15,-0.15,0.81
54770,0.15,-0.15,0.67
54791,0.15,-0.15,0.57
54811,0.15,-0.15,0.51
54832,0.15,-0.15,0.47
54852,0.15,-0.15,0.44
54873,0.00,0.00,-1.22
54893,0.00,0.00,-0.81
54914,-0.15,0.15,-2.18
54934,-0.15,0.15,-1.58
54955,-0.30,0.30,-2.82
54975,-0.30,0.30,-2.13
54995,-0.45,0.45,-3.32
55016,-0.45,0.45,-2.59
55036,-0.60,0.60,-3.75
55057,-0.60,0.60,-3.01
55077,-0.60,0.60,-2.52
55098,-0.60,0.60,-2.19
55118,-0.60,0.60,-1.97
55139,-0.45,0.45,-0.19
55159,-0.45,0.45,-0.51
55180,-0.30,0.30,0.91
55200,-0.15,0.15,1.99
55221,-0.15,0.15,1.20
55241,0.00,0.00,2.31
55262,0.00,0.00,1.54
55282,0.00,0.00,1.03
55303,-0.15,0.15,-0.95
55323,-0.30,0.30,-2.40
55344,-0.45,0.45,-3.49
55364,-0.75,0.75,-5.99
55385,-0.90,0.90,-6.27
55405,-1.20,1.20,-8.22
55426,-1.50,1.50,-9.78
55446,-1.80,1.80,-11.07
55467,-2.10,2.10,-12.19
55487,-2.40,2.40,-13.19
55507,-2.70,2.70,-14.11
55528,-3.00,3.00,-14.99
55548,-3.30,3.30,-15.00
55569,-3.60,3.60,-15.00
55589,-3.75,3.75,-15.00
55610,-3.90,3.90,-15.00
55630,-4.05,4.05,-15.00
55651,-4.05,4.05,-13.59
55671,-4.20,4.20,-14.15
55692,-4.20,4.20,-13.02
55712,-4.20,4.20,-12.26
55733,-4.20,4.20,-11.76
55753,-4.35,4.35,-13.06
55774,-4.35,4.35,-12.41
55794,-4.35,4.35,-11.99
55815,-4.50,4.50,-13.34
55835,-4.50,4.50,-12.73
55856,-4.65,4.65,-13.96
55876,-4.65,4.65,-13.27
55897,-4.65,4.65,-12.81
55917,-4.50,4.50,-10.87
55938,-4.35,4.35,-9.45
55958,-4.05,4.05,-6.74
55979,-3.75,3.75,-4.67
55999,-3.30,3.30,-1.40
56019,-3.00,3.00,-0.48
56040,-2.55,2.55,2.03
56060,-2.25,2.25,2.46
56081,-1.95,1.95,2.99
56101,-1.80,1.80,1.97
56122,-1.65,1.65,1.41
56142,-1.50,1.50,1.17
56163,-1.35,1.35,1.14
56183,-1.35,1.35,-0.39
56204,-1.35,1.35,-1.41
56224,-1.50,1.50,-3.73
56245,-1.50,1.50,-3.77
56265,-1.65,1.65,-5.43
56286,-1.65,1.65,-5.03
56306,-1.80,1.80,-6.39
56327,-1.80,1.80,-5.80
56347,-1.80,1.80,-5.40
56368,-1.80,1.80,-5.14
